datetime,x (m),y(m)
17-Sep-2023 17:25:58,-209.99,163.99
18-Sep-2023 10:45:56,-323.06,346.21
18-Sep-2023 10:55:56,-320.72,360.78
20-Sep-2023 10:45:57,-242.29,250.80
20-Sep-2023 10:55:57,-237.42,241.80
20-Sep-2023 11:35:56,-175.95,167.55
20-Sep-2023 11:45:57,-187.35,178.40
20-Sep-2023 11:55:56,-203.05,199.86
20-Sep-2023 12:05:57,-207.06,207.25
21-Sep-2023 17:15:57,-205.09,189.21
21-Sep-2023 17:25:57,-195.12,192.25
21-Sep-2023 17:35:57,-177.05,171.76
21-Sep-2023 17:45:57,-172.66,170.26
21-Sep-2023 17:55:57,-182.11,182.54
21-Sep-2023 19:25:57,-188.26,188.80
21-Sep-2023 19:35:57,-181.63,170.52
22-Sep-2023 09:45:56,-255.29,199.28
22-Sep-2023 10:35:57,-251.35,186.48
22-Sep-2023 13:05:57,-147.70,107.59
22-Sep-2023 13:25:57,-150.22,111.20
22-Sep-2023 13:45:57,-132.06,99.60
22-Sep-2023 14:45:57,-142.83,107.74
22-Sep-2023 16:15:57,-171.88,166.38
22-Sep-2023 16:25:57,-179.14,176.37
22-Sep-2023 16:35:57,-202.66,202.93
22-Sep-2023 16:45:57,-200.65,207.66
22-Sep-2023 20:45:57,-232.67,197.94
22-Sep-2023 21:45:57,-237.21,219.19
22-Sep-2023 22:05:57,-155.85,115.80
22-Sep-2023 22:25:57,-141.47,106.91
22-Sep-2023 22:45:57,-142.59,102.31
23-Sep-2023 07:45:57,-145.36,111.66
23-Sep-2023 09:05:56,-137.23,103.66
23-Sep-2023 09:45:57,-139.58,107.29
23-Sep-2023 09:55:57,-152.28,113.08
23-Sep-2023 14:45:57,-321.78,269.03
23-Sep-2023 14:55:57,-341.04,280.06
24-Sep-2023 12:55:57,-231.35,203.29
24-Sep-2023 17:16:00,-251.19,206.23
25-Sep-2023 12:56:00,-255.12,206.28
25-Sep-2023 20:06:00,-342.19,385.17
25-Sep-2023 23:26:00,-353.14,384.72
26-Sep-2023 14:55:58,-200.03,206.77
26-Sep-2023 15:05:59,-187.17,187.13
26-Sep-2023 15:15:59,-176.01,170.22
26-Sep-2023 15:25:59,-172.02,172.02
26-Sep-2023 15:35:59,-184.21,184.23
26-Sep-2023 15:45:58,-165.08,154.60
26-Sep-2023 15:55:59,-152.18,142.48
26-Sep-2023 16:05:59,-163.28,152.82
26-Sep-2023 16:15:58,-168.05,162.72
26-Sep-2023 17:35:58,-533.35,475.56
