datetime,x (m),y(m)
17-Sep-2023 09:41:57,-895.28,-925.63
17-Sep-2023 14:31:58,-126.38,91.87
17-Sep-2023 16:41:58,-136.14,88.30
17-Sep-2023 17:01:57,-136.11,88.33
17-Sep-2023 17:11:58,-134.11,90.13
17-Sep-2023 17:21:58,-138.15,86.43
17-Sep-2023 18:21:56,-132.05,92.49
17-Sep-2023 18:31:56,-132.06,92.48
17-Sep-2023 18:41:56,-135.89,88.67
17-Sep-2023 18:51:56,-132.89,91.57
17-Sep-2023 19:01:56,-131.00,93.53
17-Sep-2023 19:11:56,-130.96,93.52
17-Sep-2023 19:21:56,-130.03,94.47
17-Sep-2023 19:31:57,-131.00,93.48
17-Sep-2023 19:41:56,-128.17,96.35
17-Sep-2023 20:51:56,-129.14,95.41
17-Sep-2023 23:01:56,-131.34,93.69
17-Sep-2023 23:41:57,-134.35,89.39
17-Sep-2023 23:51:56,-130.97,93.46
18-Sep-2023 00:01:56,-130.00,94.41
18-Sep-2023 00:11:56,-130.02,94.39
18-Sep-2023 00:21:56,-130.42,93.88
18-Sep-2023 00:31:56,-130.93,93.45
18-Sep-2023 00:41:57,-130.93,93.44
18-Sep-2023 00:51:56,-130.05,94.40
18-Sep-2023 01:11:56,-132.80,91.49
18-Sep-2023 02:01:57,-140.25,75.95
18-Sep-2023 02:11:56,-129.91,92.65
18-Sep-2023 02:21:56,-132.03,89.36
18-Sep-2023 06:11:57,-130.99,91.05
18-Sep-2023 06:21:57,-129.69,92.57
18-Sep-2023 06:31:57,-129.17,93.82
18-Sep-2023 06:41:56,-130.37,91.44
18-Sep-2023 06:51:57,-130.32,91.45
18-Sep-2023 07:01:56,-128.02,96.22
18-Sep-2023 07:11:57,-131.47,89.06
18-Sep-2023 07:21:57,-130.41,91.49
18-Sep-2023 07:31:56,-129.82,92.65
18-Sep-2023 07:41:56,-132.12,87.92
18-Sep-2023 07:51:56,-132.78,86.79
18-Sep-2023 08:41:56,-130.40,88.27
18-Sep-2023 08:51:57,-130.42,88.21
18-Sep-2023 09:01:56,-129.53,91.52
18-Sep-2023 09:11:56,-128.39,94.71
18-Sep-2023 09:21:56,-129.82,90.95
18-Sep-2023 09:51:56,-132.33,83.27
18-Sep-2023 10:01:56,-127.97,96.09
