datetime,x (m),y(m)
19-Sep-2023 00:47:56,-83.99,-28.25
19-Sep-2023 00:57:56,-77.91,-27.29
19-Sep-2023 01:07:56,-71.78,-26.14
19-Sep-2023 01:17:56,-81.10,-23.63
19-Sep-2023 01:27:56,-79.15,-17.52
19-Sep-2023 01:37:57,-76.77,-24.45
19-Sep-2023 01:47:57,-75.74,-28.28
19-Sep-2023 01:57:56,-82.88,-29.79
19-Sep-2023 02:07:57,-89.97,-31.11
19-Sep-2023 02:17:57,-74.97,-19.20
19-Sep-2023 02:27:56,-82.27,-31.47
19-Sep-2023 02:37:56,-94.32,-31.79
19-Sep-2023 02:47:56,-90.30,-26.31
19-Sep-2023 02:57:57,-85.50,-12.37
19-Sep-2023 03:07:56,-82.90,-21.92
19-Sep-2023 03:17:56,-83.43,-5.12
19-Sep-2023 03:27:57,-67.44,-9.21
19-Sep-2023 03:37:56,-66.89,-37.01
19-Sep-2023 03:47:56,-48.76,-29.66
19-Sep-2023 03:57:57,-44.94,-33.26
19-Sep-2023 04:07:56,-55.63,-29.89
19-Sep-2023 04:17:57,-75.99,-27.64
19-Sep-2023 04:27:56,-89.45,-41.15
19-Sep-2023 04:37:57,-51.89,-14.17
19-Sep-2023 06:07:57,-63.95,-22.09
19-Sep-2023 06:17:56,-79.91,-21.14
19-Sep-2023 06:27:57,-73.16,-23.25
19-Sep-2023 06:37:56,-88.53,-18.41
19-Sep-2023 07:07:56,-81.71,-19.46
19-Sep-2023 07:17:56,-75.31,-23.92
19-Sep-2023 07:27:56,-67.18,-23.23
19-Sep-2023 08:17:56,-82.40,-9.87
19-Sep-2023 08:27:56,-85.60,-14.92
19-Sep-2023 08:37:56,-80.94,-18.60
19-Sep-2023 08:47:56,-87.91,-20.21
19-Sep-2023 08:57:56,-81.79,-31.31
19-Sep-2023 09:07:56,-83.19,-30.69
19-Sep-2023 09:17:56,-71.05,-25.22
19-Sep-2023 09:47:56,-74.17,-20.96
19-Sep-2023 09:57:56,-71.20,-22.35
19-Sep-2023 10:07:56,-75.50,-26.10
19-Sep-2023 10:27:57,-77.31,-24.60
19-Sep-2023 10:37:56,-60.21,-19.71
19-Sep-2023 11:07:57,-72.92,-26.52
19-Sep-2023 11:17:56,-75.25,-26.68
19-Sep-2023 11:27:57,-73.42,-25.33
19-Sep-2023 11:37:56,-71.06,-27.82
19-Sep-2023 11:47:56,-75.74,-25.43
19-Sep-2023 11:57:56,-75.20,-23.89
19-Sep-2023 12:07:57,-84.12,-21.50
19-Sep-2023 12:17:56,-77.85,-17.88
19-Sep-2023 12:27:57,-76.25,-24.24
19-Sep-2023 12:37:57,-72.65,-27.10
19-Sep-2023 12:47:56,-78.08,-22.72
19-Sep-2023 12:57:56,-81.91,-18.79
19-Sep-2023 13:07:56,-79.07,-20.21
19-Sep-2023 13:17:56,-80.69,-13.70
19-Sep-2023 13:27:57,-75.77,-25.43
19-Sep-2023 13:37:56,-79.20,-14.74
19-Sep-2023 13:47:56,-77.82,-20.55
19-Sep-2023 13:57:56,-75.77,-22.69
19-Sep-2023 14:07:57,-74.46,-20.31
19-Sep-2023 14:17:57,-79.13,-20.19
19-Sep-2023 14:27:56,-83.91,-8.57
19-Sep-2023 14:37:56,-69.81,-17.79
19-Sep-2023 14:47:56,-78.59,-21.41
19-Sep-2023 15:07:57,-74.15,-13.80
19-Sep-2023 15:17:56,-75.67,-15.36
19-Sep-2023 15:27:56,-65.82,-20.87
19-Sep-2023 15:37:56,-69.06,-19.43
19-Sep-2023 15:47:57,-72.45,-17.21
19-Sep-2023 16:27:57,-68.40,-22.98
19-Sep-2023 16:37:56,-78.16,-25.20
19-Sep-2023 16:47:56,-80.64,-24.91
19-Sep-2023 16:57:56,-91.52,-25.82
19-Sep-2023 17:07:57,-80.91,-21.39
19-Sep-2023 17:17:56,-82.67,-22.54
19-Sep-2023 17:27:56,-81.43,-25.87
19-Sep-2023 17:37:56,-82.18,-20.95
19-Sep-2023 17:47:56,-82.42,-23.21
19-Sep-2023 17:57:56,-74.98,-21.78
19-Sep-2023 18:07:56,-87.03,-26.06
19-Sep-2023 18:17:56,-84.68,-23.10
19-Sep-2023 18:27:56,-86.94,-13.97
19-Sep-2023 18:37:56,-85.29,-11.56
19-Sep-2023 18:47:56,-82.84,-11.26
19-Sep-2023 18:57:56,-85.18,-8.04
19-Sep-2023 19:07:56,-70.02,-22.27
19-Sep-2023 19:17:56,-77.13,-15.71
19-Sep-2023 19:47:56,-73.17,-25.93
19-Sep-2023 19:57:56,-65.86,-23.34
19-Sep-2023 20:07:56,-76.31,-27.04
19-Sep-2023 20:17:56,-75.01,-24.54
19-Sep-2023 20:27:57,-83.51,-14.87
19-Sep-2023 20:37:57,-82.98,-21.93
19-Sep-2023 20:47:57,-73.22,-25.94
19-Sep-2023 21:37:56,-84.78,-26.19
19-Sep-2023 21:47:57,-88.63,-44.37
19-Sep-2023 21:57:56,-80.24,-14.99
19-Sep-2023 22:07:56,-75.27,-23.94
19-Sep-2023 22:17:57,-80.69,-19.23
19-Sep-2023 22:27:57,-91.22,-13.58
19-Sep-2023 22:37:56,-88.24,-5.45
19-Sep-2023 22:47:57,-91.73,-9.08
19-Sep-2023 22:57:57,-98.21,-13.40
20-Sep-2023 00:37:56,-85.04,-13.75
20-Sep-2023 00:47:56,-86.20,-8.17
20-Sep-2023 00:57:56,-84.26,-24.54
20-Sep-2023 01:07:57,-91.06,-24.11
20-Sep-2023 01:17:57,-86.37,-26.71
20-Sep-2023 01:27:57,-83.28,-24.27
20-Sep-2023 01:37:56,-87.85,-25.63
20-Sep-2023 01:47:57,-93.06,-24.68
20-Sep-2023 01:57:57,-90.15,-27.09
20-Sep-2023 02:07:56,-94.92,-21.85
20-Sep-2023 02:17:57,-97.92,-18.31
20-Sep-2023 02:27:57,-75.95,-34.22
20-Sep-2023 02:37:57,-83.13,-31.07
20-Sep-2023 02:47:56,-78.61,-21.53
20-Sep-2023 02:57:56,-91.92,-8.70
20-Sep-2023 03:07:57,-91.63,-25.92
20-Sep-2023 03:17:56,-88.16,-28.07
20-Sep-2023 03:27:57,-89.16,-16.68
20-Sep-2023 03:37:56,-86.89,-23.37
20-Sep-2023 03:47:57,-72.18,-25.59
20-Sep-2023 03:57:57,-87.21,-16.32
20-Sep-2023 04:07:57,-93.53,-15.91
20-Sep-2023 04:17:57,-83.27,-27.27
20-Sep-2023 04:27:57,-85.98,-19.75
20-Sep-2023 04:37:56,-67.98,-21.63
20-Sep-2023 04:47:56,-68.79,-20.05
20-Sep-2023 04:57:56,-80.21,-26.27
20-Sep-2023 05:07:57,-82.22,-21.06
20-Sep-2023 05:17:56,-92.11,-36.11
20-Sep-2023 05:27:57,-89.71,-28.53
20-Sep-2023 05:37:57,-83.00,-27.92
20-Sep-2023 05:47:56,-76.30,-27.09
20-Sep-2023 05:57:57,-71.15,-33.45
20-Sep-2023 06:07:57,-82.73,-32.06
20-Sep-2023 06:17:56,-84.78,-26.21
20-Sep-2023 06:27:56,-87.20,-19.29
20-Sep-2023 06:37:56,-84.25,-27.57
20-Sep-2023 06:47:56,-87.74,-24.02
20-Sep-2023 06:57:56,-86.25,-25.09
20-Sep-2023 07:07:56,-86.25,-25.09
20-Sep-2023 07:17:56,-87.43,-18.52
20-Sep-2023 07:27:56,-85.20,-21.75
20-Sep-2023 07:37:56,-85.21,-21.76
20-Sep-2023 07:47:57,-86.70,-20.62
20-Sep-2023 07:57:56,-86.16,-19.02
20-Sep-2023 08:07:56,-87.18,-22.26
20-Sep-2023 08:17:56,-85.98,-25.76
20-Sep-2023 08:27:56,-84.86,-22.42
20-Sep-2023 08:37:56,-86.38,-15.35
20-Sep-2023 08:47:56,-83.91,-22.12
20-Sep-2023 08:57:56,-82.42,-26.12
20-Sep-2023 09:07:56,-87.62,-29.37
20-Sep-2023 09:17:56,-93.12,-32.06
20-Sep-2023 09:27:56,-97.41,-23.96
20-Sep-2023 09:37:56,-98.96,-26.04
20-Sep-2023 09:47:56,-81.40,-22.88
20-Sep-2023 09:57:56,-79.49,-14.07
20-Sep-2023 10:07:57,-93.98,-28.89
20-Sep-2023 10:17:56,-63.05,-19.10
20-Sep-2023 10:27:56,-72.69,-21.70
20-Sep-2023 10:37:56,-81.50,-28.76
20-Sep-2023 10:47:56,-81.11,-33.21
20-Sep-2023 10:57:56,-82.85,-21.80
20-Sep-2023 11:07:56,-79.86,-26.75
20-Sep-2023 11:17:56,-84.05,-28.13
20-Sep-2023 11:27:56,-83.11,-27.41
20-Sep-2023 11:37:56,-83.24,-27.04
20-Sep-2023 11:47:56,-80.16,-26.05
20-Sep-2023 11:57:56,-83.24,-27.05
20-Sep-2023 12:07:56,-82.16,-23.74
20-Sep-2023 12:17:56,-85.96,-25.64
20-Sep-2023 13:17:56,-82.64,-22.41
20-Sep-2023 13:27:56,-79.62,-27.33
20-Sep-2023 13:37:56,-87.03,-19.10
20-Sep-2023 13:47:56,-76.12,-26.87
20-Sep-2023 14:57:56,-105.33,-25.82
20-Sep-2023 15:07:56,-73.16,-22.79
20-Sep-2023 15:17:56,-82.72,-31.48
20-Sep-2023 15:27:56,-84.51,-29.78
20-Sep-2023 15:37:56,-88.60,-35.38
20-Sep-2023 15:47:56,-78.59,-21.31
20-Sep-2023 15:57:56,-80.92,-30.03
20-Sep-2023 16:07:56,-84.44,-33.74
20-Sep-2023 16:17:56,-83.03,-30.85
20-Sep-2023 16:27:56,-83.06,-30.88
20-Sep-2023 16:37:56,-83.78,-28.78
20-Sep-2023 16:47:56,-84.48,-26.73
20-Sep-2023 16:57:56,-80.46,-28.39
20-Sep-2023 17:07:57,-82.26,-29.78
20-Sep-2023 17:17:57,-78.61,-27.01
20-Sep-2023 17:27:57,-84.42,-33.75
20-Sep-2023 17:37:57,-77.27,-24.44
20-Sep-2023 17:47:57,-88.97,-26.93
20-Sep-2023 17:57:56,-79.10,-22.88
20-Sep-2023 18:07:56,-76.25,-21.36
20-Sep-2023 18:17:56,-99.13,-13.30
20-Sep-2023 18:27:57,-83.82,-11.25
20-Sep-2023 18:37:57,-85.74,-6.55
20-Sep-2023 18:47:56,-94.40,-15.89
20-Sep-2023 18:57:56,-95.74,-26.04
20-Sep-2023 19:07:57,-83.38,-5.05
20-Sep-2023 19:17:56,-71.46,-14.51
20-Sep-2023 20:07:57,-77.56,-18.46
20-Sep-2023 20:17:56,-83.14,-21.24
20-Sep-2023 20:27:57,-68.43,-22.97
20-Sep-2023 20:47:57,-65.59,-16.76
20-Sep-2023 20:57:57,-69.86,-15.41
20-Sep-2023 21:07:57,-85.28,-27.86
20-Sep-2023 21:17:57,-79.98,-26.50
20-Sep-2023 21:27:57,-80.92,-27.18
20-Sep-2023 21:37:57,-84.43,-26.83
20-Sep-2023 21:47:57,-72.87,-26.51
20-Sep-2023 21:57:56,-80.57,-28.19
20-Sep-2023 22:07:57,-83.01,-27.90
