datetime,x (m),y(m)
17-Sep-2023 17:09:58,-64.18,-21.46
17-Sep-2023 17:19:58,-72.02,-22.12
17-Sep-2023 17:29:58,-80.10,-21.36
17-Sep-2023 17:39:57,-79.68,-19.41
17-Sep-2023 17:49:57,-75.47,-19.14
17-Sep-2023 18:09:57,-103.62,-25.67
17-Sep-2023 18:19:56,-90.25,-17.07
17-Sep-2023 18:29:56,-74.80,-15.41
17-Sep-2023 18:39:56,-104.19,-1.49
17-Sep-2023 18:49:56,-93.20,-8.30
17-Sep-2023 19:59:56,-44.88,-20.83
17-Sep-2023 20:09:56,-65.95,-23.64
17-Sep-2023 20:19:56,-51.68,-25.55
17-Sep-2023 20:29:56,-54.00,-23.99
17-Sep-2023 22:59:57,-72.94,-17.02
17-Sep-2023 23:09:56,-100.32,-21.63
17-Sep-2023 23:19:56,-81.82,-22.63
17-Sep-2023 23:29:56,-95.55,-32.45
17-Sep-2023 23:39:56,-92.28,-28.01
17-Sep-2023 23:49:56,-83.16,-4.00
17-Sep-2023 23:59:56,-64.12,-17.74
18-Sep-2023 00:09:56,-82.86,-14.32
18-Sep-2023 00:19:56,-85.61,-18.42
18-Sep-2023 00:29:56,-83.69,-12.36
18-Sep-2023 00:39:56,-89.07,-11.66
18-Sep-2023 00:49:56,-86.47,-10.59
18-Sep-2023 00:59:56,-83.26,-10.88
18-Sep-2023 01:09:56,-82.87,-17.13
18-Sep-2023 01:19:56,-85.38,-22.09
18-Sep-2023 01:49:56,-92.15,-28.75
18-Sep-2023 01:59:56,-100.00,-14.73
18-Sep-2023 02:09:56,-97.20,-21.77
18-Sep-2023 06:09:56,-100.53,-30.49
18-Sep-2023 06:19:56,-79.56,-17.16
18-Sep-2023 15:09:56,-87.69,-24.95
18-Sep-2023 15:19:56,-68.54,-21.02
18-Sep-2023 15:29:56,-68.90,-22.68
18-Sep-2023 15:39:56,-73.98,-14.60
18-Sep-2023 15:49:56,-81.16,-8.51
