timestamp;posx;posy;lat;lon;real_position
17-Nov-2024 13:00:04;-92.8650388905535;-540.6943459511;63.0645940224405;23.5496747355521;True
17-Nov-2024 13:00:34;-85.90713018513556;-528.5492802097505;63.06470332193253;23.549812991904748;True
17-Nov-2024 13:01:04;-79.17221982328292;-516.7534951234034;63.06480947807408;23.54994681719356;True
17-Nov-2024 13:01:34;-72.67537231190111;-505.2920902893945;63.064912624961295;23.55007591208093;True
17-Nov-2024 13:02:04;-66.43165215789567;-494.1501653050596;63.06501289669032;23.55019997722924;True
17-Nov-2024 13:02:34;-60.45612386817214;-483.3128197677347;63.06511042735729;23.55031871330088;True
17-Nov-2024 13:03:04;-54.763851949636056;-472.7651532747555;63.065205351058346;23.55043182095823;True
17-Nov-2024 13:03:34;-49.36990090919293;-462.49226542345787;63.065297801889635;23.55053900086369;True
17-Nov-2024 13:04:04;-44.289335253748305;-452.47925581117767;63.06538791394728;23.55063995367964;True
17-Nov-2024 13:04:34;-39.537219490207704;-442.71122403525067;63.065475821327446;23.550734380068466;True
17-Nov-2024 13:05:04;-35.12861812547667;-433.17326969301274;63.06556165812626;23.550821980692554;True
17-Nov-2024 13:05:34;-31.078595666460735;-423.85049238179965;63.065645558439854;23.550902456214303;True
17-Nov-2024 13:06:04;-27.402216620065428;-414.72799169894745;63.06572765636439;23.550975507296094;True
17-Nov-2024 13:06:34;-24.114545493196275;-405.7908672417917;63.065808085996;23.551040834600304;True
17-Nov-2024 13:07:04;-21.2306467927588;-397.0242186076685;63.06588698143081;23.551098138789342;True
17-Nov-2024 13:07:34;-18.765585025658567;-388.41314539391334;63.065964476764975;23.55114712052558;True
17-Nov-2024 13:08:04;-16.73442469880108;-379.94274719786245;63.06604070609463;23.551187480471413;True
17-Nov-2024 13:08:34;-15.152230319091881;-371.59812361685135;63.06611580351591;23.551218919289216;True
17-Nov-2024 13:09:04;-14.034066393436502;-363.36437424821605;63.066189903124986;23.551241137641398;True
17-Nov-2024 13:09:34;-13.394997428740453;-355.2265986892923;63.06626313901796;23.551253836190327;True
17-Nov-2024 13:10:04;-13.2500879319093;-347.169896537416;63.066335645291;23.5512567155984;True
17-Nov-2024 13:10:34;-13.681895312765304;-339.3172111805727;63.06640631551534;23.551248135417765;True
17-Nov-2024 13:11:04;-14.716481613764326;-331.8042919530372;63.06647392801516;23.551227577785507;True
17-Nov-2024 13:11:34;-16.28416829076226;-324.63544737157855;63.06653844401597;23.551196427241393;True
17-Nov-2024 13:12:04;-18.315276799615006;-317.81498595296597;63.066599824743285;23.55115606832521;True
17-Nov-2024 13:12:34;-20.74012859617846;-311.3472162139687;63.06665803142262;23.55110788557673;True
17-Nov-2024 13:13:04;-23.489045136308526;-305.236446671356;63.06671302527948;23.551053263535735;True
17-Nov-2024 13:13:34;-26.492347875861107;-299.4869858418971;63.06676476753939;23.550993586741992;True
17-Nov-2024 13:14:04;-29.680358270692096;-294.1031422423612;63.06681321942784;23.55093023973529;True
17-Nov-2024 13:14:34;-32.98339777665739;-289.0892243895173;63.06685834217038;23.550864607055406;True
17-Nov-2024 13:15:04;-36.331787849612894;-284.44954080013497;63.06690009699248;23.55079807324211;True
17-Nov-2024 13:15:34;-39.6558499454145;-280.18839999098316;63.06693844511968;23.550732022835188;True
17-Nov-2024 13:16:04;-42.885905519918126;-276.3101104788312;63.0669733477775;23.550667840374413;True
17-Nov-2024 13:16:34;-45.952276028979654;-272.81898078044827;63.067004766191424;23.550606910399562;True
17-Nov-2024 13:17:04;-48.78528292845497;-269.71931941260357;63.067032661586985;23.550550617450412;True
17-Nov-2024 13:17:34;-51.31524767420001;-267.01543489206637;63.067056995189695;23.55050034606674;True
17-Nov-2024 13:18:04;-53.47249172207064;-264.7116357356059;63.06707772822507;23.550457480788328;True
17-Nov-2024 13:18:34;-55.18733652792278;-262.8122304599913;63.06709482191861;23.55042340615495;True
17-Nov-2024 13:19:04;-56.39010354761231;-261.3215275819918;63.067108237495844;23.550399506706388;True
17-Nov-2024 13:19:34;-57.011114236995155;-260.24383561837664;63.067117936182264;23.550387166982407;True
17-Nov-2024 13:20:04;-56.9806900519272;-259.583463085915;63.0671238792034;23.5503877715228;True
17-Nov-2024 13:20:34;-56.50775100844378;-259.6098258601457;63.067123641951675;23.550397169005567;True
17-Nov-2024 13:21:04;-55.861357114663015;-260.570449653815;63.06711499681999;23.550410013103686;True
17-Nov-2024 13:21:34;-55.062039814564926;-262.43680773950365;63.067098200534566;23.55042589584938;True
17-Nov-2024 13:22:04;-54.13033055212957;-265.1803733897923;63.06707350982162;23.550444409274863;True
17-Nov-2024 13:22:34;-53.086760771336984;-268.7726198772617;63.067041181407376;23.550465145412364;True
17-Nov-2024 13:23:04;-51.951861916167196;-273.18502047449255;63.06700147201805;23.550487696294095;True
17-Nov-2024 13:23:34;-50.746165430600264;-278.38904845406546;63.06695463837987;23.55051165395229;True
17-Nov-2024 13:24:04;-49.49020275861621;-284.35617708856114;63.06690093721904;23.550536610419158;True
17-Nov-2024 13:24:34;-48.20450534419508;-291.0578796505603;63.06684062526178;23.550562157726926;True
17-Nov-2024 13:25:04;-46.909604631316924;-298.4656294126436;63.06677395923434;23.550587887907813;True
17-Nov-2024 13:25:34;-45.62603206396176;-306.55089964739176;63.0667011958629;23.550613392994048;True
17-Nov-2024 13:26:04;-44.37431908610965;-315.28516362738543;63.06662259187371;23.55063826501784;True
17-Nov-2024 13:26:34;-43.17499714174062;-324.6398946252053;63.066538403992965;23.550662096011415;True
