datetime,x (m),y(m)
19-Sep-2023 15:33:56,81.20,26.37
19-Sep-2023 15:43:56,87.69,30.11
19-Sep-2023 15:53:57,76.82,24.27
19-Sep-2023 16:03:56,75.70,24.62
19-Sep-2023 16:13:57,82.44,26.08
19-Sep-2023 16:23:56,76.68,24.26
19-Sep-2023 16:33:57,82.61,26.13
19-Sep-2023 16:43:56,76.65,24.24
19-Sep-2023 16:53:57,82.97,27.78
19-Sep-2023 17:13:57,69.11,15.75
19-Sep-2023 17:23:56,67.10,14.71
19-Sep-2023 17:33:56,62.55,14.78
19-Sep-2023 18:33:56,58.09,22.11
19-Sep-2023 18:43:56,44.46,25.92
19-Sep-2023 18:53:56,87.38,34.12
19-Sep-2023 19:03:56,72.01,32.30
19-Sep-2023 19:13:56,64.02,28.72
19-Sep-2023 19:23:56,69.08,15.76
19-Sep-2023 19:33:56,109.57,21.23
19-Sep-2023 19:43:56,91.85,14.68
19-Sep-2023 19:53:56,67.19,16.49
19-Sep-2023 20:03:56,65.68,19.00
19-Sep-2023 20:23:56,63.34,27.17
19-Sep-2023 20:33:56,84.28,24.40
19-Sep-2023 20:43:57,85.81,28.71
19-Sep-2023 20:53:56,77.50,29.51
19-Sep-2023 21:03:57,92.35,32.59
19-Sep-2023 21:13:56,103.55,37.51
19-Sep-2023 21:23:57,73.30,27.26
19-Sep-2023 21:33:57,82.30,29.82
19-Sep-2023 22:13:56,76.22,26.22
19-Sep-2023 22:23:56,77.45,29.53
19-Sep-2023 22:33:56,60.60,19.19
19-Sep-2023 22:43:57,63.53,16.16
19-Sep-2023 23:23:56,75.86,31.84
19-Sep-2023 23:33:56,83.34,29.45
19-Sep-2023 23:43:56,91.88,38.53
19-Sep-2023 23:53:57,97.79,30.92
20-Sep-2023 00:03:56,93.59,32.15
20-Sep-2023 00:13:57,80.58,28.46
20-Sep-2023 00:23:57,82.22,29.80
20-Sep-2023 00:33:56,81.15,30.18
20-Sep-2023 00:43:57,73.19,27.22
20-Sep-2023 00:53:56,77.40,29.49
20-Sep-2023 01:03:56,85.62,32.65
20-Sep-2023 01:13:56,78.43,29.18
20-Sep-2023 01:23:57,89.54,33.30
20-Sep-2023 01:33:56,69.66,26.57
20-Sep-2023 01:43:56,85.87,34.41
20-Sep-2023 01:53:56,69.85,24.70
20-Sep-2023 02:03:56,89.12,31.51
20-Sep-2023 02:13:57,87.89,31.88
20-Sep-2023 02:23:56,58.99,19.75
20-Sep-2023 02:33:57,70.98,20.59
20-Sep-2023 03:03:56,93.29,40.04
20-Sep-2023 03:13:56,91.76,30.75
20-Sep-2023 03:23:56,101.08,32.03
20-Sep-2023 03:33:56,69.74,26.60
20-Sep-2023 03:43:56,70.40,28.17
20-Sep-2023 03:53:57,76.51,29.90
20-Sep-2023 04:03:56,76.46,29.88
20-Sep-2023 04:13:56,75.47,30.22
20-Sep-2023 04:23:56,71.33,27.87
20-Sep-2023 04:43:56,73.24,27.24
20-Sep-2023 04:53:57,63.26,25.33
20-Sep-2023 05:03:56,55.63,21.22
20-Sep-2023 05:23:56,50.53,12.85
20-Sep-2023 05:33:56,66.16,15.10
20-Sep-2023 05:53:56,83.31,25.65
20-Sep-2023 06:03:56,72.94,29.17
20-Sep-2023 06:13:56,93.69,32.23
20-Sep-2023 06:23:56,74.50,34.17
20-Sep-2023 06:33:56,98.08,31.05
20-Sep-2023 06:43:56,34.46,17.20
20-Sep-2023 06:53:56,42.30,25.17
20-Sep-2023 07:03:56,66.38,27.83
20-Sep-2023 07:13:56,68.08,27.21
20-Sep-2023 07:23:56,64.82,28.39
20-Sep-2023 07:33:56,85.53,31.74
20-Sep-2023 07:43:56,99.14,38.66
20-Sep-2023 07:53:56,81.90,31.94
20-Sep-2023 08:03:56,81.89,31.96
20-Sep-2023 08:13:56,69.14,26.98
20-Sep-2023 08:23:56,57.33,20.76
20-Sep-2023 08:33:56,57.98,20.46
20-Sep-2023 08:43:56,66.82,24.16
20-Sep-2023 08:53:56,71.27,24.43
20-Sep-2023 09:03:56,85.51,30.90
20-Sep-2023 09:13:56,104.18,28.22
20-Sep-2023 09:23:56,109.76,29.72
20-Sep-2023 09:33:56,73.22,12.25
20-Sep-2023 09:43:56,84.43,15.57
20-Sep-2023 09:53:56,83.43,21.83
20-Sep-2023 10:03:56,80.64,19.00
20-Sep-2023 10:13:56,57.70,29.29
20-Sep-2023 10:23:56,70.42,28.39
20-Sep-2023 10:33:56,59.14,18.09
20-Sep-2023 10:43:56,78.19,27.49
20-Sep-2023 10:53:56,70.97,26.29
20-Sep-2023 11:03:56,69.52,23.16
20-Sep-2023 11:13:56,62.07,22.39
20-Sep-2023 11:23:56,68.83,19.83
20-Sep-2023 11:33:56,67.05,20.48
20-Sep-2023 11:43:56,68.83,21.65
20-Sep-2023 11:53:56,69.52,23.13
20-Sep-2023 12:03:56,63.54,19.99
20-Sep-2023 12:13:56,82.42,22.28
20-Sep-2023 12:23:56,74.32,21.40
20-Sep-2023 12:33:56,73.30,21.76
20-Sep-2023 12:43:56,70.64,20.97
20-Sep-2023 12:53:56,59.96,17.80
20-Sep-2023 13:03:56,76.38,20.63
20-Sep-2023 13:13:56,76.42,22.67
20-Sep-2023 13:23:56,80.99,24.77
20-Sep-2023 13:33:56,74.50,21.46
20-Sep-2023 13:43:56,85.94,27.08
20-Sep-2023 13:53:56,97.61,33.42
20-Sep-2023 14:03:56,99.52,36.84
20-Sep-2023 14:23:56,79.98,17.41
20-Sep-2023 14:33:56,61.04,19.22
20-Sep-2023 14:43:56,69.74,21.34
20-Sep-2023 14:53:56,73.41,21.79
20-Sep-2023 15:03:56,76.24,22.61
20-Sep-2023 15:13:56,76.25,22.63
20-Sep-2023 15:23:56,71.53,22.50
20-Sep-2023 15:33:56,66.26,22.65
20-Sep-2023 15:43:56,54.50,20.15
20-Sep-2023 15:53:56,61.85,18.90
20-Sep-2023 16:03:56,64.56,23.28
20-Sep-2023 16:13:56,70.65,19.09
20-Sep-2023 16:23:56,55.04,16.35
20-Sep-2023 16:33:56,62.82,20.36
20-Sep-2023 16:43:57,62.70,20.32
20-Sep-2023 16:53:57,88.10,30.14
20-Sep-2023 17:03:56,80.02,11.33
20-Sep-2023 17:13:56,65.03,17.56
20-Sep-2023 17:23:57,60.49,13.97
20-Sep-2023 17:33:56,47.38,9.12
20-Sep-2023 18:33:57,96.91,25.34
20-Sep-2023 18:43:56,100.95,22.03
20-Sep-2023 19:03:57,76.86,33.63
20-Sep-2023 19:13:57,55.82,35.04
20-Sep-2023 19:23:56,41.47,25.57
20-Sep-2023 19:33:57,98.71,26.79
20-Sep-2023 19:43:56,86.07,28.77
20-Sep-2023 19:53:57,91.01,32.13
20-Sep-2023 20:03:57,108.22,32.29
20-Sep-2023 20:43:57,63.26,20.01
20-Sep-2023 20:53:57,51.89,29.72
20-Sep-2023 21:03:57,76.69,33.61
20-Sep-2023 21:13:57,80.17,34.35
20-Sep-2023 21:23:57,81.18,34.02
20-Sep-2023 21:33:57,85.82,32.68
20-Sep-2023 21:43:56,84.50,38.73
20-Sep-2023 21:53:57,82.17,29.00
20-Sep-2023 22:03:56,64.18,25.05
20-Sep-2023 23:43:56,112.02,41.65
20-Sep-2023 23:53:57,117.30,42.51
21-Sep-2023 00:03:57,63.37,25.34
21-Sep-2023 00:13:57,70.75,26.31
21-Sep-2023 00:23:57,76.96,27.89
21-Sep-2023 00:33:56,108.50,36.31
21-Sep-2023 00:43:56,108.60,38.34
21-Sep-2023 00:53:57,112.07,39.55
21-Sep-2023 01:03:57,92.41,32.63
21-Sep-2023 01:13:57,85.28,26.99
21-Sep-2023 01:23:57,89.37,31.57
21-Sep-2023 01:33:57,84.69,29.11
21-Sep-2023 01:43:57,84.72,29.11
21-Sep-2023 01:53:56,72.59,31.14
21-Sep-2023 02:03:56,82.38,29.84
21-Sep-2023 02:13:56,54.02,23.71
21-Sep-2023 02:23:56,48.02,10.55
21-Sep-2023 02:33:56,47.46,10.83
21-Sep-2023 02:43:57,55.77,12.23
21-Sep-2023 02:53:57,63.36,14.45
21-Sep-2023 03:03:57,72.59,17.20
21-Sep-2023 03:13:57,78.93,21.46
21-Sep-2023 04:13:57,81.36,30.25
21-Sep-2023 04:23:57,88.92,29.74
21-Sep-2023 04:33:57,85.31,30.90
21-Sep-2023 04:43:57,86.96,32.30
21-Sep-2023 04:53:57,85.33,30.89
21-Sep-2023 05:03:57,78.11,31.22
21-Sep-2023 05:13:57,78.55,13.88
21-Sep-2023 05:23:57,94.55,9.56
21-Sep-2023 05:33:57,73.14,14.16
21-Sep-2023 06:13:57,89.16,25.80
21-Sep-2023 06:23:56,88.31,20.13
21-Sep-2023 06:33:57,80.59,24.76
21-Sep-2023 06:43:56,101.79,34.05
21-Sep-2023 07:03:57,96.65,25.40
21-Sep-2023 07:13:56,78.00,21.86
21-Sep-2023 07:23:57,76.94,22.25
21-Sep-2023 07:33:56,68.55,21.67
21-Sep-2023 07:43:56,66.61,18.67
21-Sep-2023 07:53:57,63.92,17.92
21-Sep-2023 08:03:57,71.36,20.64
21-Sep-2023 08:13:57,69.01,19.64
21-Sep-2023 08:23:56,69.70,19.50
21-Sep-2023 08:33:56,76.77,24.26
21-Sep-2023 08:43:56,63.39,20.02
21-Sep-2023 08:53:56,68.58,21.64
21-Sep-2023 09:03:56,68.51,17.96
21-Sep-2023 09:13:56,71.39,20.58
21-Sep-2023 09:23:56,76.05,22.61
21-Sep-2023 09:33:57,69.59,21.34
21-Sep-2023 09:43:57,85.48,26.99
21-Sep-2023 09:53:56,78.18,21.87
21-Sep-2023 10:03:57,74.16,21.42
21-Sep-2023 10:13:57,91.80,20.91
21-Sep-2023 10:23:56,84.51,21.45
21-Sep-2023 10:33:57,47.27,5.55
21-Sep-2023 10:43:57,34.76,12.91
21-Sep-2023 10:53:57,44.72,8.66
21-Sep-2023 11:23:56,47.96,14.30
21-Sep-2023 11:33:57,66.84,22.36
21-Sep-2023 11:43:56,93.40,30.38
21-Sep-2023 11:53:56,77.82,23.89
21-Sep-2023 12:03:56,78.12,21.87
21-Sep-2023 12:13:57,70.38,20.97
21-Sep-2023 12:23:57,81.17,22.73
21-Sep-2023 12:33:56,65.87,19.03
21-Sep-2023 12:43:56,81.40,20.64
21-Sep-2023 12:53:57,72.88,25.67
21-Sep-2023 13:23:56,64.20,19.66
21-Sep-2023 13:33:56,66.78,20.48
21-Sep-2023 13:43:56,84.68,21.41
21-Sep-2023 13:53:56,71.43,18.67
21-Sep-2023 14:03:56,66.02,26.29
21-Sep-2023 14:13:56,67.73,21.95
21-Sep-2023 14:23:56,89.23,21.80
21-Sep-2023 14:33:56,100.44,26.25
21-Sep-2023 14:43:56,64.06,17.87
21-Sep-2023 14:53:56,65.91,18.98
21-Sep-2023 15:03:56,64.33,21.41
21-Sep-2023 15:13:57,70.38,20.91
21-Sep-2023 15:23:56,75.12,21.00
21-Sep-2023 15:33:56,63.88,16.16
21-Sep-2023 15:43:56,51.56,12.58
21-Sep-2023 15:53:56,68.61,21.63
21-Sep-2023 16:03:56,66.72,18.65
21-Sep-2023 16:13:56,62.34,18.54
21-Sep-2023 16:23:56,60.27,15.77
21-Sep-2023 16:33:56,54.98,15.35
21-Sep-2023 16:43:56,52.50,13.76
21-Sep-2023 18:43:57,88.02,26.21
21-Sep-2023 18:53:57,70.42,27.43
21-Sep-2023 19:03:56,71.33,22.49
21-Sep-2023 19:13:57,68.63,21.65
21-Sep-2023 19:23:57,73.99,23.36
21-Sep-2023 19:33:57,60.60,20.20
21-Sep-2023 19:43:56,53.73,15.02
21-Sep-2023 23:03:57,88.93,17.96
21-Sep-2023 23:13:57,92.80,27.66
