datetime,x (m),y(m)
17-Sep-2023 17:33:58,-136.83,11.06
17-Sep-2023 17:43:57,-144.25,17.10
17-Sep-2023 18:13:56,-137.57,15.75
17-Sep-2023 18:23:56,-138.45,5.56
17-Sep-2023 18:33:56,-137.70,8.96
17-Sep-2023 18:43:56,-136.97,8.88
17-Sep-2023 18:53:56,-134.80,8.67
17-Sep-2023 19:03:56,-136.08,6.53
17-Sep-2023 19:13:56,-137.07,7.66
17-Sep-2023 19:23:56,-134.95,6.39
17-Sep-2023 19:33:56,-132.71,6.34
17-Sep-2023 19:43:56,-141.86,10.28
17-Sep-2023 19:53:56,-137.77,0.88
17-Sep-2023 20:03:56,-133.83,11.88
17-Sep-2023 20:13:56,-139.24,2.03
17-Sep-2023 20:23:56,-145.00,9.33
17-Sep-2023 20:33:56,-141.85,5.58
17-Sep-2023 20:43:56,-132.78,17.32
17-Sep-2023 23:13:56,-31.73,-13.27
17-Sep-2023 23:23:56,-35.64,-14.22
17-Sep-2023 23:33:56,-32.51,-12.35
17-Sep-2023 23:43:56,-37.61,-13.60
17-Sep-2023 23:53:56,-35.27,-12.74
18-Sep-2023 00:03:56,-36.92,-12.67
18-Sep-2023 00:13:56,-31.07,-10.37
18-Sep-2023 00:23:56,-34.55,-11.84
18-Sep-2023 00:33:56,-36.16,-11.74
18-Sep-2023 00:43:56,-31.31,-10.16
18-Sep-2023 00:53:56,-35.77,-12.26
18-Sep-2023 01:03:56,-33.97,-12.58
18-Sep-2023 06:13:56,-105.28,-30.44
18-Sep-2023 06:23:56,-96.74,-21.18
18-Sep-2023 06:33:56,-97.90,-13.13
18-Sep-2023 06:43:56,-96.06,-16.10
18-Sep-2023 07:13:56,-99.68,-17.53
18-Sep-2023 07:23:56,-98.93,-5.85
18-Sep-2023 07:33:56,-102.25,-3.52
18-Sep-2023 07:43:56,-108.20,-25.53
18-Sep-2023 08:13:56,-140.97,0.93
18-Sep-2023 08:23:56,-145.00,12.93
18-Sep-2023 08:33:56,-141.34,9.08
18-Sep-2023 08:43:56,-138.84,11.27
18-Sep-2023 08:53:56,-141.13,10.36
18-Sep-2023 09:03:56,-137.52,10.06
18-Sep-2023 09:13:56,-139.27,7.93
18-Sep-2023 09:23:56,-140.99,11.48
18-Sep-2023 09:33:56,-138.27,10.11
18-Sep-2023 09:43:56,-143.19,6.96
18-Sep-2023 09:53:56,-140.43,10.27
18-Sep-2023 10:03:56,-140.79,8.02
18-Sep-2023 10:13:56,-144.51,11.85
18-Sep-2023 10:23:56,-142.59,10.44
18-Sep-2023 10:33:56,-140.18,6.79
18-Sep-2023 10:43:56,-139.86,9.14
18-Sep-2023 10:53:56,-138.88,20.70
18-Sep-2023 11:03:56,-140.58,13.86
18-Sep-2023 11:13:56,-130.96,13.97
18-Sep-2023 11:23:56,-135.81,13.41
18-Sep-2023 11:33:56,-139.59,16.08
18-Sep-2023 11:43:56,-137.82,13.60
18-Sep-2023 11:53:56,-143.32,14.16
18-Sep-2023 12:03:56,-139.93,13.82
18-Sep-2023 12:13:56,-139.38,17.25
18-Sep-2023 12:23:56,-140.43,10.34
18-Sep-2023 12:33:56,-135.59,15.61
18-Sep-2023 12:43:56,-140.93,16.28
18-Sep-2023 12:53:56,-139.41,12.58
18-Sep-2023 13:03:56,-137.05,14.65
18-Sep-2023 13:13:56,-149.09,11.01
18-Sep-2023 13:23:56,-140.58,13.90
18-Sep-2023 13:33:56,-144.04,14.21
18-Sep-2023 13:43:56,-141.28,13.93
18-Sep-2023 13:53:56,-136.52,5.57
18-Sep-2023 14:03:56,-146.44,9.58
18-Sep-2023 14:13:56,-143.74,3.53
18-Sep-2023 14:23:56,-139.82,3.48
18-Sep-2023 14:33:56,-131.86,8.70
18-Sep-2023 14:43:56,-133.56,5.43
18-Sep-2023 14:53:56,-142.55,5.81
18-Sep-2023 15:03:56,-135.99,3.28
18-Sep-2023 15:13:56,-136.94,8.93
18-Sep-2023 15:23:56,-140.65,3.43
18-Sep-2023 15:33:56,-135.65,6.63
18-Sep-2023 15:43:56,-135.90,4.41
18-Sep-2023 15:53:56,-135.81,5.57
18-Sep-2023 16:03:56,-136.30,7.80
18-Sep-2023 16:13:56,-134.91,6.58
18-Sep-2023 16:23:56,-135.89,4.36
18-Sep-2023 16:33:56,-133.39,7.53
18-Sep-2023 16:43:56,-133.46,6.48
18-Sep-2023 16:53:56,-133.28,9.79
18-Sep-2023 17:03:56,-134.77,8.77
18-Sep-2023 17:13:56,-132.10,3.14
18-Sep-2023 17:23:56,-135.04,5.43
18-Sep-2023 17:33:56,-132.85,4.22
18-Sep-2023 17:43:56,-133.34,8.63
18-Sep-2023 17:53:56,-135.92,4.30
18-Sep-2023 18:03:57,-133.34,8.65
18-Sep-2023 18:13:56,-96.34,-8.45
18-Sep-2023 18:23:57,-107.05,-26.16
18-Sep-2023 18:33:56,-88.12,-25.01
18-Sep-2023 18:43:56,-87.06,-28.22
18-Sep-2023 18:53:57,-89.94,-22.75
18-Sep-2023 19:03:56,-97.92,-24.77
18-Sep-2023 19:13:57,-88.60,-17.06
18-Sep-2023 19:23:56,-79.56,-10.62
18-Sep-2023 19:33:56,-84.31,-14.44
18-Sep-2023 19:43:56,-89.10,-18.66
18-Sep-2023 19:53:56,-92.49,-17.82
18-Sep-2023 20:03:56,-98.91,-5.84
