datetime,x (m),y(m)
17-Sep-2023 17:09:58,62.98,22.99
17-Sep-2023 17:19:58,62.78,17.62
17-Sep-2023 17:29:58,35.17,7.03
17-Sep-2023 17:39:57,42.93,6.53
17-Sep-2023 17:49:57,46.09,6.31
17-Sep-2023 17:59:57,45.83,6.78
17-Sep-2023 18:07:54,46.61,6.31
17-Sep-2023 18:09:57,47.43,5.82
17-Sep-2023 18:19:56,60.58,8.59
17-Sep-2023 18:29:56,67.73,9.02
17-Sep-2023 18:39:56,67.17,7.28
17-Sep-2023 20:09:56,42.61,18.67
17-Sep-2023 20:19:56,40.55,12.82
17-Sep-2023 20:29:56,98.36,14.86
17-Sep-2023 20:39:56,92.82,14.80
17-Sep-2023 20:49:56,88.84,14.17
17-Sep-2023 20:59:56,94.19,14.23
17-Sep-2023 23:49:56,66.31,7.79
17-Sep-2023 23:59:56,67.76,9.09
18-Sep-2023 00:09:56,64.54,12.46
18-Sep-2023 00:39:56,5.02,0.55
18-Sep-2023 00:49:56,9.32,0.78
18-Sep-2023 00:59:56,13.13,1.54
18-Sep-2023 01:09:56,18.27,1.53
18-Sep-2023 01:19:56,22.48,2.26
18-Sep-2023 01:29:56,17.81,1.79
18-Sep-2023 07:29:56,27.43,20.91
18-Sep-2023 07:39:56,23.22,18.30
18-Sep-2023 07:49:56,23.22,19.90
18-Sep-2023 07:59:56,33.31,21.30
18-Sep-2023 08:09:56,26.86,21.18
18-Sep-2023 08:19:56,22.28,18.78
18-Sep-2023 08:29:56,26.48,18.18
18-Sep-2023 11:39:56,49.84,8.29
18-Sep-2023 11:49:56,53.14,8.39
18-Sep-2023 11:59:56,56.72,8.48
18-Sep-2023 12:09:56,49.78,8.29
18-Sep-2023 13:39:56,37.20,4.01
18-Sep-2023 13:49:56,29.95,1.25
18-Sep-2023 13:59:56,35.46,5.01
18-Sep-2023 14:09:56,41.65,3.45
18-Sep-2023 14:19:56,40.64,4.03
18-Sep-2023 14:29:56,40.35,6.03
18-Sep-2023 14:49:56,35.31,3.51
18-Sep-2023 14:59:56,41.66,3.46
18-Sep-2023 15:29:56,47.39,5.90
18-Sep-2023 15:39:56,48.86,6.91
18-Sep-2023 15:49:56,40.97,3.75
18-Sep-2023 15:59:56,46.30,2.69
18-Sep-2023 16:19:56,46.99,2.36
