datetime,x (m),y(m)
16-Sep-2023 23:25:58,-149.92,-2050.41
17-Sep-2023 17:15:58,-50.69,-23.96
17-Sep-2023 17:25:58,-53.37,-19.99
17-Sep-2023 17:35:57,-59.95,-23.40
17-Sep-2023 17:45:57,-57.35,-20.36
17-Sep-2023 18:15:57,-63.50,-22.52
17-Sep-2023 18:25:56,-63.01,-21.20
17-Sep-2023 18:35:57,-39.99,-14.73
17-Sep-2023 18:45:56,-55.78,-22.38
17-Sep-2023 18:55:56,-56.64,-23.24
17-Sep-2023 19:05:56,-49.71,-23.32
17-Sep-2023 20:35:56,-63.25,-8.06
17-Sep-2023 20:45:56,-43.84,-13.53
17-Sep-2023 23:35:56,-86.39,-4.57
17-Sep-2023 23:45:57,-76.92,-5.32
17-Sep-2023 23:55:57,-67.48,-6.63
18-Sep-2023 00:05:56,-57.52,-7.33
18-Sep-2023 00:15:56,-51.49,-16.35
18-Sep-2023 00:25:56,-41.72,-22.16
18-Sep-2023 00:35:57,-63.20,-20.65
18-Sep-2023 00:45:56,-62.12,-24.92
18-Sep-2023 00:55:56,-82.94,-24.12
18-Sep-2023 01:05:56,-61.32,-21.72
18-Sep-2023 01:15:57,-57.64,-23.67
18-Sep-2023 01:25:56,-56.49,-23.20
18-Sep-2023 01:35:56,-59.68,-22.25
18-Sep-2023 01:45:57,-57.83,-23.19
18-Sep-2023 01:55:57,-63.67,-24.34
18-Sep-2023 02:05:57,-59.21,-23.19
18-Sep-2023 02:15:57,-57.24,-26.61
18-Sep-2023 02:25:56,-51.62,-27.98
18-Sep-2023 06:15:57,-49.65,-23.31
18-Sep-2023 06:25:56,-48.34,-23.18
18-Sep-2023 06:35:57,-54.70,-26.22
18-Sep-2023 06:45:57,-49.71,-23.34
18-Sep-2023 06:55:57,-49.61,-23.28
18-Sep-2023 07:05:57,-53.88,-25.31
18-Sep-2023 07:15:56,-51.55,-24.71
18-Sep-2023 07:25:56,-52.65,-25.24
18-Sep-2023 07:35:57,-47.24,-22.65
18-Sep-2023 07:45:57,-44.22,-20.76
18-Sep-2023 07:55:56,-49.43,-23.71
18-Sep-2023 08:05:57,-48.33,-23.18
18-Sep-2023 08:15:56,-49.21,-24.08
18-Sep-2023 08:25:56,-46.54,-23.74
18-Sep-2023 08:35:56,-57.43,-28.71
18-Sep-2023 08:45:56,-48.93,-24.45
18-Sep-2023 08:55:56,-58.53,-29.29
18-Sep-2023 09:05:56,-56.41,-28.24
18-Sep-2023 09:15:56,-52.35,-25.67
18-Sep-2023 09:25:56,-50.25,-24.63
18-Sep-2023 09:35:56,-56.91,-27.32
18-Sep-2023 09:45:56,-55.02,-25.86
18-Sep-2023 09:55:56,-38.53,-18.50
18-Sep-2023 10:05:56,-53.44,-26.21
